,Model,Number of Features,Number of con,Number of cat,Accuracy,Precision,Recall,F1-Score
912,K-Nearest Neighbor,26,20,6,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
913,Support Vector Machines,26,20,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
914,Naive Bayes,26,20,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
915,K-Nearest Neighbor,26,21,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
916,Support Vector Machines,26,21,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
917,Naive Bayes,26,21,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
918,K-Nearest Neighbor,26,22,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
919,Support Vector Machines,26,22,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
920,Naive Bayes,26,22,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
921,K-Nearest Neighbor,26,23,3,0.76,0.6499999999999999,0.9,0.7447619047619047
922,Support Vector Machines,26,23,3,0.8,0.7666666666666666,0.8333333333333333,0.76
923,Naive Bayes,26,23,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
924,K-Nearest Neighbor,26,24,2,0.72,0.6499999999999999,0.8333333333333333,0.7047619047619047
925,Support Vector Machines,26,24,2,0.6,0.6,0.5,0.5133333333333333
926,Naive Bayes,26,24,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
927,K-Nearest Neighbor,26,25,1,0.6799999999999999,0.6166666666666666,0.8333333333333333,0.6780952380952381
928,Support Vector Machines,26,25,1,0.64,0.6666666666666666,0.7,0.6133333333333333
929,Naive Bayes,26,25,1,0.72,0.65,0.5666666666666667,0.5380952380952381
930,K-Nearest Neighbor,27,7,20,0.72,0.6333333333333333,0.6,0.5533333333333333
931,Support Vector Machines,27,7,20,0.68,0.7333333333333332,0.7,0.6266666666666666
932,Naive Bayes,27,7,20,0.8,0.65,0.7,0.6714285714285715
933,K-Nearest Neighbor,27,8,19,0.72,0.6333333333333333,0.6,0.5533333333333333
934,Support Vector Machines,27,8,19,0.68,0.7333333333333332,0.7,0.6266666666666666
935,Naive Bayes,27,8,19,0.8400000000000001,0.75,0.7,0.7047619047619047
936,K-Nearest Neighbor,27,9,18,0.72,0.6333333333333333,0.6,0.5533333333333333
937,Support Vector Machines,27,9,18,0.7200000000000001,0.7666666666666666,0.7,0.6599999999999999
938,Naive Bayes,27,9,18,0.8,0.7333333333333333,0.6333333333333333,0.6666666666666666
939,K-Nearest Neighbor,27,10,17,0.72,0.6333333333333333,0.6,0.5533333333333333
940,Support Vector Machines,27,10,17,0.68,0.7333333333333332,0.7,0.6266666666666666
941,Naive Bayes,27,10,17,0.8,0.7333333333333333,0.6333333333333333,0.6666666666666666
942,K-Nearest Neighbor,27,11,16,0.6799999999999999,0.5999999999999999,0.6,0.52
943,Support Vector Machines,27,11,16,0.68,0.7333333333333332,0.7,0.6266666666666666
944,Naive Bayes,27,11,16,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
945,K-Nearest Neighbor,27,12,15,0.6799999999999999,0.5999999999999999,0.6,0.52
946,Support Vector Machines,27,12,15,0.68,0.7333333333333332,0.7,0.6266666666666666
947,Naive Bayes,27,12,15,0.8,0.75,0.8333333333333333,0.7647619047619048
948,K-Nearest Neighbor,27,13,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
949,Support Vector Machines,27,13,14,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
950,Naive Bayes,27,13,14,0.8800000000000001,0.95,0.8333333333333333,0.8647619047619048
951,K-Nearest Neighbor,27,14,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
952,Support Vector Machines,27,14,13,0.6799999999999999,0.6499999999999999,0.7666666666666666,0.6314285714285715
953,Naive Bayes,27,14,13,0.8800000000000001,0.85,0.9,0.8714285714285716
954,K-Nearest Neighbor,27,15,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
955,Support Vector Machines,27,15,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
956,Naive Bayes,27,15,12,0.8800000000000001,0.85,0.9,0.8714285714285716
957,K-Nearest Neighbor,27,16,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
958,Support Vector Machines,27,16,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
959,Naive Bayes,27,16,11,0.8800000000000001,0.85,0.9,0.8714285714285716
960,K-Nearest Neighbor,27,17,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
961,Support Vector Machines,27,17,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
962,Naive Bayes,27,17,10,0.9199999999999999,0.95,0.9,0.9047619047619048
