,Model,Number of Features,Number of con,Number of cat,Accuracy,Precision,Recall,F1-Score
1058,Naive Bayes,29,11,18,0.8,0.7333333333333333,0.6333333333333333,0.6666666666666666
1059,K-Nearest Neighbor,29,12,17,0.72,0.6333333333333333,0.6,0.5533333333333333
1060,Support Vector Machines,29,12,17,0.68,0.7333333333333332,0.7,0.6266666666666666
1061,Naive Bayes,29,12,17,0.8400000000000001,0.75,0.7,0.7047619047619047
1062,K-Nearest Neighbor,29,13,16,0.6799999999999999,0.5999999999999999,0.6,0.52
1063,Support Vector Machines,29,13,16,0.68,0.7333333333333332,0.7,0.6266666666666666
1064,Naive Bayes,29,13,16,0.8,0.75,0.6333333333333333,0.6647619047619048
1065,K-Nearest Neighbor,29,14,15,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1066,Support Vector Machines,29,14,15,0.68,0.7333333333333332,0.7,0.6266666666666666
1067,Naive Bayes,29,14,15,0.8800000000000001,0.95,0.8333333333333333,0.8647619047619048
1068,K-Nearest Neighbor,29,15,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
1069,Support Vector Machines,29,15,14,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1070,Naive Bayes,29,15,14,0.8800000000000001,0.95,0.8333333333333333,0.8647619047619048
1071,K-Nearest Neighbor,29,16,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1072,Support Vector Machines,29,16,13,0.6799999999999999,0.6499999999999999,0.7666666666666666,0.6314285714285715
1073,Naive Bayes,29,16,13,0.8800000000000001,0.85,0.9,0.8714285714285716
1074,K-Nearest Neighbor,29,17,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1075,Support Vector Machines,29,17,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1076,Naive Bayes,29,17,12,0.8800000000000001,0.85,0.9,0.8714285714285716
1077,K-Nearest Neighbor,29,18,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1078,Support Vector Machines,29,18,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1079,Naive Bayes,29,18,11,0.8800000000000001,0.85,0.9,0.8714285714285716
1080,K-Nearest Neighbor,29,19,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1081,Support Vector Machines,29,19,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1082,Naive Bayes,29,19,10,0.9199999999999999,0.95,0.9,0.9047619047619048
1083,K-Nearest Neighbor,29,20,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1084,Support Vector Machines,29,20,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1085,Naive Bayes,29,20,9,0.9199999999999999,0.95,0.9,0.9047619047619048
1086,K-Nearest Neighbor,29,21,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1087,Support Vector Machines,29,21,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1088,Naive Bayes,29,21,8,0.8800000000000001,0.85,0.9,0.838095238095238
1089,K-Nearest Neighbor,29,22,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1090,Support Vector Machines,29,22,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1091,Naive Bayes,29,22,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1092,K-Nearest Neighbor,29,23,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1093,Support Vector Machines,29,23,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1094,Naive Bayes,29,23,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1095,K-Nearest Neighbor,29,24,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1096,Support Vector Machines,29,24,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1097,Naive Bayes,29,24,5,0.8400000000000001,0.8833333333333334,0.8333333333333333,0.8247619047619048
1098,K-Nearest Neighbor,29,25,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1099,Support Vector Machines,29,25,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
1100,Naive Bayes,29,25,4,0.8,0.8833333333333334,0.7666666666666666,0.7647619047619048
1101,K-Nearest Neighbor,29,26,3,0.76,0.6499999999999999,0.9,0.7447619047619047
1102,Support Vector Machines,29,26,3,0.8,0.7666666666666666,0.8333333333333333,0.76
1103,Naive Bayes,29,26,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1104,K-Nearest Neighbor,29,27,2,0.72,0.6499999999999999,0.8333333333333333,0.7047619047619047
1105,Support Vector Machines,29,27,2,0.64,0.6666666666666666,0.7,0.6133333333333333
1106,Naive Bayes,29,27,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
1107,K-Nearest Neighbor,29,28,1,0.68,0.6333333333333333,0.7666666666666666,0.6666666666666666
1108,Support Vector Machines,29,28,1,0.64,0.6666666666666666,0.7,0.6133333333333333
1109,Naive Bayes,29,28,1,0.72,0.65,0.5666666666666667,0.5380952380952381
1110,K-Nearest Neighbor,30,10,20,0.72,0.6333333333333333,0.6,0.5533333333333333
1111,Support Vector Machines,30,10,20,0.68,0.7333333333333332,0.7,0.6266666666666666
1112,Naive Bayes,30,10,20,0.8,0.7333333333333333,0.6333333333333333,0.6666666666666666
1113,K-Nearest Neighbor,30,11,19,0.72,0.6333333333333333,0.6,0.5533333333333333
1114,Support Vector Machines,30,11,19,0.68,0.7333333333333332,0.7,0.6266666666666666
1115,Naive Bayes,30,11,19,0.8,0.7333333333333333,0.6333333333333333,0.6666666666666666
1116,K-Nearest Neighbor,30,12,18,0.72,0.6333333333333333,0.6,0.5533333333333333
1117,Support Vector Machines,30,12,18,0.68,0.7333333333333332,0.7,0.6266666666666666
1118,Naive Bayes,30,12,18,0.8400000000000001,0.75,0.7,0.7047619047619047
1119,K-Nearest Neighbor,30,13,17,0.72,0.6333333333333333,0.6,0.5533333333333333
1120,Support Vector Machines,30,13,17,0.68,0.7333333333333332,0.7,0.6266666666666666
1121,Naive Bayes,30,13,17,0.8400000000000001,0.75,0.7,0.7047619047619047
1122,K-Nearest Neighbor,30,14,16,0.6799999999999999,0.5999999999999999,0.6,0.52
1123,Support Vector Machines,30,14,16,0.68,0.7333333333333332,0.7,0.6266666666666666
1124,Naive Bayes,30,14,16,0.8,0.75,0.6333333333333333,0.6647619047619048
1125,K-Nearest Neighbor,30,15,15,0.72,0.5999999999999999,0.6666666666666666,0.5599999999999999
1126,Support Vector Machines,30,15,15,0.68,0.7333333333333332,0.7,0.6266666666666666
1127,Naive Bayes,30,15,15,0.8800000000000001,0.95,0.8333333333333333,0.8647619047619048
1128,K-Nearest Neighbor,30,16,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
1129,Support Vector Machines,30,16,14,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1130,Naive Bayes,30,16,14,0.8400000000000001,0.95,0.7666666666666666,0.8047619047619048
1131,K-Nearest Neighbor,30,17,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1132,Support Vector Machines,30,17,13,0.6799999999999999,0.6499999999999999,0.7666666666666666,0.6314285714285715
1133,Naive Bayes,30,17,13,0.8800000000000001,0.85,0.9,0.8714285714285716
1134,K-Nearest Neighbor,30,18,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1135,Support Vector Machines,30,18,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1136,Naive Bayes,30,18,12,0.8800000000000001,0.85,0.9,0.8714285714285716
1137,K-Nearest Neighbor,30,19,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1138,Support Vector Machines,30,19,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1139,Naive Bayes,30,19,11,0.8800000000000001,0.85,0.9,0.8714285714285716
1140,K-Nearest Neighbor,30,20,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1141,Support Vector Machines,30,20,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1142,Naive Bayes,30,20,10,0.9199999999999999,0.95,0.9,0.9047619047619048
1143,K-Nearest Neighbor,30,21,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1144,Support Vector Machines,30,21,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1145,Naive Bayes,30,21,9,0.9199999999999999,0.95,0.9,0.9047619047619048
1146,K-Nearest Neighbor,30,22,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1147,Support Vector Machines,30,22,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1148,Naive Bayes,30,22,8,0.8800000000000001,0.85,0.9,0.838095238095238
1149,K-Nearest Neighbor,30,23,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1150,Support Vector Machines,30,23,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1151,Naive Bayes,30,23,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1152,K-Nearest Neighbor,30,24,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1153,Support Vector Machines,30,24,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1154,Naive Bayes,30,24,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1155,K-Nearest Neighbor,30,25,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1156,Support Vector Machines,30,25,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1157,Naive Bayes,30,25,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1158,K-Nearest Neighbor,30,26,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1159,Support Vector Machines,30,26,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
1160,Naive Bayes,30,26,4,0.8,0.8833333333333334,0.7666666666666666,0.7647619047619048
1161,K-Nearest Neighbor,30,27,3,0.76,0.6499999999999999,0.9,0.7447619047619047
1162,Support Vector Machines,30,27,3,0.7600000000000001,0.7666666666666666,0.7666666666666666,0.72
1163,Naive Bayes,30,27,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1164,K-Nearest Neighbor,30,28,2,0.72,0.6499999999999999,0.8333333333333333,0.7047619047619047
1165,Support Vector Machines,30,28,2,0.64,0.6666666666666666,0.7,0.6133333333333333
1166,Naive Bayes,30,28,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
1167,K-Nearest Neighbor,30,29,1,0.64,0.6333333333333333,0.7,0.6066666666666667
1168,Support Vector Machines,30,29,1,0.64,0.6666666666666666,0.7,0.6133333333333333
1169,Naive Bayes,30,29,1,0.72,0.65,0.5666666666666667,0.5380952380952381
1170,K-Nearest Neighbor,31,11,20,0.72,0.6333333333333333,0.6,0.5533333333333333
1171,Support Vector Machines,31,11,20,0.68,0.7333333333333332,0.7,0.6266666666666666
1172,Naive Bayes,31,11,20,0.8,0.7333333333333333,0.6333333333333333,0.6666666666666666
1173,K-Nearest Neighbor,31,12,19,0.72,0.6333333333333333,0.6,0.5533333333333333
1174,Support Vector Machines,31,12,19,0.68,0.7333333333333332,0.7,0.6266666666666666
1175,Naive Bayes,31,12,19,0.8400000000000001,0.75,0.7,0.7047619047619047
1176,K-Nearest Neighbor,31,13,18,0.72,0.6333333333333333,0.6,0.5533333333333333
1177,Support Vector Machines,31,13,18,0.68,0.7333333333333332,0.7,0.6266666666666666
1178,Naive Bayes,31,13,18,0.8400000000000001,0.75,0.7,0.7047619047619047
1179,K-Nearest Neighbor,31,14,17,0.72,0.6333333333333333,0.6,0.5533333333333333
1180,Support Vector Machines,31,14,17,0.68,0.7333333333333332,0.7,0.6266666666666666
1181,Naive Bayes,31,14,17,0.8,0.75,0.6333333333333333,0.6647619047619048
1182,K-Nearest Neighbor,31,15,16,0.6799999999999999,0.5999999999999999,0.6,0.52
1183,Support Vector Machines,31,15,16,0.68,0.7333333333333332,0.7,0.6266666666666666
1184,Naive Bayes,31,15,16,0.8,0.75,0.6333333333333333,0.6647619047619048
1185,K-Nearest Neighbor,31,16,15,0.72,0.5999999999999999,0.6666666666666666,0.5599999999999999
1186,Support Vector Machines,31,16,15,0.68,0.7333333333333332,0.7,0.6266666666666666
1187,Naive Bayes,31,16,15,0.8400000000000001,0.95,0.7666666666666666,0.8047619047619048
1188,K-Nearest Neighbor,31,17,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
1189,Support Vector Machines,31,17,14,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1190,Naive Bayes,31,17,14,0.8400000000000001,0.95,0.7666666666666666,0.8047619047619048
1191,K-Nearest Neighbor,31,18,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1192,Support Vector Machines,31,18,13,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
1193,Naive Bayes,31,18,13,0.8800000000000001,0.85,0.9,0.8714285714285716
1194,K-Nearest Neighbor,31,19,12,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1195,Support Vector Machines,31,19,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1196,Naive Bayes,31,19,12,0.8800000000000001,0.85,0.9,0.8714285714285716
1197,K-Nearest Neighbor,31,20,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1198,Support Vector Machines,31,20,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1199,Naive Bayes,31,20,11,0.8800000000000001,0.85,0.9,0.8714285714285716
1200,K-Nearest Neighbor,31,21,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1201,Support Vector Machines,31,21,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1202,Naive Bayes,31,21,10,0.9199999999999999,0.95,0.9,0.9047619047619048
1203,K-Nearest Neighbor,31,22,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1204,Support Vector Machines,31,22,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1205,Naive Bayes,31,22,9,0.9199999999999999,0.95,0.9,0.9047619047619048
1206,K-Nearest Neighbor,31,23,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1207,Support Vector Machines,31,23,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1208,Naive Bayes,31,23,8,0.8800000000000001,0.85,0.9,0.838095238095238
1209,K-Nearest Neighbor,31,24,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1210,Support Vector Machines,31,24,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1211,Naive Bayes,31,24,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1212,K-Nearest Neighbor,31,25,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1213,Support Vector Machines,31,25,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1214,Naive Bayes,31,25,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1215,K-Nearest Neighbor,31,26,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1216,Support Vector Machines,31,26,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1217,Naive Bayes,31,26,5,0.8400000000000001,0.8833333333333334,0.8333333333333333,0.8247619047619048
1218,K-Nearest Neighbor,31,27,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1219,Support Vector Machines,31,27,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
1220,Naive Bayes,31,27,4,0.8,0.8833333333333334,0.7666666666666666,0.7647619047619048
1221,K-Nearest Neighbor,31,28,3,0.76,0.6499999999999999,0.9,0.7447619047619047
1222,Support Vector Machines,31,28,3,0.8,0.7666666666666666,0.8333333333333333,0.76
1223,Naive Bayes,31,28,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1224,K-Nearest Neighbor,31,29,2,0.68,0.6499999999999999,0.7666666666666666,0.6447619047619048
1225,Support Vector Machines,31,29,2,0.64,0.6666666666666666,0.7,0.6133333333333333
1226,Naive Bayes,31,29,2,0.76,0.7833333333333333,0.7666666666666666,0.7314285714285715
1227,K-Nearest Neighbor,31,30,1,0.64,0.6333333333333333,0.7,0.6066666666666667
1228,Support Vector Machines,31,30,1,0.64,0.6666666666666666,0.7,0.6133333333333333
1229,Naive Bayes,31,30,1,0.72,0.65,0.5666666666666667,0.5380952380952381
1230,K-Nearest Neighbor,32,12,20,0.72,0.6333333333333333,0.6,0.5533333333333333
1231,Support Vector Machines,32,12,20,0.68,0.7333333333333332,0.7,0.6266666666666666
1232,Naive Bayes,32,12,20,0.8,0.65,0.7,0.6714285714285715
1233,K-Nearest Neighbor,32,13,19,0.72,0.6333333333333333,0.6,0.5533333333333333
1234,Support Vector Machines,32,13,19,0.68,0.7333333333333332,0.7,0.6266666666666666
1235,Naive Bayes,32,13,19,0.8400000000000001,0.75,0.7,0.7047619047619047
1236,K-Nearest Neighbor,32,14,18,0.72,0.6333333333333333,0.6,0.5533333333333333
1237,Support Vector Machines,32,14,18,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1238,Naive Bayes,32,14,18,0.8,0.75,0.6333333333333333,0.6647619047619048
1239,K-Nearest Neighbor,32,15,17,0.72,0.6333333333333333,0.6,0.5533333333333333
1240,Support Vector Machines,32,15,17,0.68,0.7333333333333332,0.7,0.6266666666666666
1241,Naive Bayes,32,15,17,0.8,0.75,0.6333333333333333,0.6647619047619048
1242,K-Nearest Neighbor,32,16,16,0.6799999999999999,0.5999999999999999,0.6,0.52
1243,Support Vector Machines,32,16,16,0.68,0.7333333333333332,0.7,0.6266666666666666
1244,Naive Bayes,32,16,16,0.8,0.75,0.6333333333333333,0.6647619047619048
1245,K-Nearest Neighbor,32,17,15,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1246,Support Vector Machines,32,17,15,0.68,0.7333333333333332,0.7,0.6266666666666666
1247,Naive Bayes,32,17,15,0.8400000000000001,0.95,0.7666666666666666,0.8047619047619048
1248,K-Nearest Neighbor,32,18,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
1249,Support Vector Machines,32,18,14,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1250,Naive Bayes,32,18,14,0.8400000000000001,0.95,0.7666666666666666,0.8047619047619048
1251,K-Nearest Neighbor,32,19,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1252,Support Vector Machines,32,19,13,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
1253,Naive Bayes,32,19,13,0.8800000000000001,0.85,0.9,0.8714285714285716
1254,K-Nearest Neighbor,32,20,12,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1255,Support Vector Machines,32,20,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1256,Naive Bayes,32,20,12,0.8800000000000001,0.85,0.9,0.8714285714285716
1257,K-Nearest Neighbor,32,21,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1258,Support Vector Machines,32,21,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1259,Naive Bayes,32,21,11,0.8800000000000001,0.85,0.9,0.8714285714285716
1260,K-Nearest Neighbor,32,22,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1261,Support Vector Machines,32,22,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1262,Naive Bayes,32,22,10,0.9199999999999999,0.95,0.9,0.9047619047619048
1263,K-Nearest Neighbor,32,23,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1264,Support Vector Machines,32,23,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1265,Naive Bayes,32,23,9,0.9199999999999999,0.95,0.9,0.9047619047619048
1266,K-Nearest Neighbor,32,24,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1267,Support Vector Machines,32,24,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1268,Naive Bayes,32,24,8,0.8800000000000001,0.85,0.9,0.838095238095238
1269,K-Nearest Neighbor,32,25,7,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1270,Support Vector Machines,32,25,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1271,Naive Bayes,32,25,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1272,K-Nearest Neighbor,32,26,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1273,Support Vector Machines,32,26,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1274,Naive Bayes,32,26,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1275,K-Nearest Neighbor,32,27,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1276,Support Vector Machines,32,27,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1277,Naive Bayes,32,27,5,0.8,0.8833333333333334,0.7666666666666666,0.7647619047619048
1278,K-Nearest Neighbor,32,28,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1279,Support Vector Machines,32,28,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
1280,Naive Bayes,32,28,4,0.8,0.8833333333333334,0.7666666666666666,0.7647619047619048
1281,K-Nearest Neighbor,32,29,3,0.76,0.6499999999999999,0.9,0.7447619047619047
1282,Support Vector Machines,32,29,3,0.7200000000000001,0.7666666666666666,0.7,0.6599999999999999
1283,Naive Bayes,32,29,3,0.8400000000000001,0.8833333333333334,0.8333333333333333,0.8247619047619048
1284,K-Nearest Neighbor,32,30,2,0.68,0.6499999999999999,0.7666666666666666,0.6447619047619048
1285,Support Vector Machines,32,30,2,0.64,0.6666666666666666,0.7,0.6133333333333333
1286,Naive Bayes,32,30,2,0.72,0.75,0.7666666666666666,0.7047619047619047
1287,K-Nearest Neighbor,33,13,20,0.72,0.6333333333333333,0.6,0.5533333333333333
1288,Support Vector Machines,33,13,20,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1289,Naive Bayes,33,13,20,0.8400000000000001,0.75,0.7,0.7047619047619047
1290,K-Nearest Neighbor,33,14,19,0.72,0.6333333333333333,0.6,0.5533333333333333
1291,Support Vector Machines,33,14,19,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1292,Naive Bayes,33,14,19,0.8400000000000001,0.75,0.7,0.7047619047619047
1293,K-Nearest Neighbor,33,15,18,0.72,0.6333333333333333,0.6,0.5533333333333333
1294,Support Vector Machines,33,15,18,0.68,0.7333333333333332,0.7,0.6266666666666666
1295,Naive Bayes,33,15,18,0.8,0.75,0.6333333333333333,0.6647619047619048
1296,K-Nearest Neighbor,33,16,17,0.72,0.6333333333333333,0.6,0.5533333333333333
1297,Support Vector Machines,33,16,17,0.68,0.7333333333333332,0.7,0.6266666666666666
1298,Naive Bayes,33,16,17,0.8,0.75,0.6333333333333333,0.6647619047619048
1299,K-Nearest Neighbor,33,17,16,0.6799999999999999,0.5999999999999999,0.6,0.52
1300,Support Vector Machines,33,17,16,0.68,0.7333333333333332,0.7,0.6266666666666666
1301,Naive Bayes,33,17,16,0.8,0.75,0.6333333333333333,0.6647619047619048
1302,K-Nearest Neighbor,33,18,15,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1303,Support Vector Machines,33,18,15,0.68,0.7333333333333332,0.7,0.6266666666666666
1304,Naive Bayes,33,18,15,0.8400000000000001,0.95,0.7666666666666666,0.8047619047619048
1305,K-Nearest Neighbor,33,19,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
1306,Support Vector Machines,33,19,14,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1307,Naive Bayes,33,19,14,0.8400000000000001,0.95,0.7666666666666666,0.8047619047619048
1308,K-Nearest Neighbor,33,20,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1309,Support Vector Machines,33,20,13,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
1310,Naive Bayes,33,20,13,0.8800000000000001,0.85,0.9,0.8714285714285716
1311,K-Nearest Neighbor,33,21,12,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1312,Support Vector Machines,33,21,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1313,Naive Bayes,33,21,12,0.8800000000000001,0.85,0.9,0.8714285714285716
1314,K-Nearest Neighbor,33,22,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1315,Support Vector Machines,33,22,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1316,Naive Bayes,33,22,11,0.8800000000000001,0.85,0.9,0.8714285714285716
1317,K-Nearest Neighbor,33,23,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1318,Support Vector Machines,33,23,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1319,Naive Bayes,33,23,10,0.9199999999999999,0.95,0.9,0.9047619047619048
1320,K-Nearest Neighbor,33,24,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1321,Support Vector Machines,33,24,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1322,Naive Bayes,33,24,9,0.9199999999999999,0.95,0.9,0.9047619047619048
1323,K-Nearest Neighbor,33,25,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1324,Support Vector Machines,33,25,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1325,Naive Bayes,33,25,8,0.9199999999999999,0.95,0.9,0.9047619047619048
1326,K-Nearest Neighbor,33,26,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1327,Support Vector Machines,33,26,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1328,Naive Bayes,33,26,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1329,K-Nearest Neighbor,33,27,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1330,Support Vector Machines,33,27,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1331,Naive Bayes,33,27,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1332,K-Nearest Neighbor,33,28,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1333,Support Vector Machines,33,28,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1334,Naive Bayes,33,28,5,0.8,0.8833333333333334,0.7666666666666666,0.7647619047619048
1335,K-Nearest Neighbor,33,29,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1336,Support Vector Machines,33,29,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
1337,Naive Bayes,33,29,4,0.8,0.8833333333333334,0.7666666666666666,0.7647619047619048
1338,K-Nearest Neighbor,33,30,3,0.76,0.6499999999999999,0.9,0.7447619047619047
1339,Support Vector Machines,33,30,3,0.7200000000000001,0.7666666666666666,0.7,0.6599999999999999
1340,Naive Bayes,33,30,3,0.76,0.85,0.7666666666666666,0.738095238095238
1341,K-Nearest Neighbor,34,14,20,0.72,0.6333333333333333,0.6,0.5533333333333333
1342,Support Vector Machines,34,14,20,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1343,Naive Bayes,34,14,20,0.8400000000000001,0.75,0.7,0.7047619047619047
1344,K-Nearest Neighbor,34,15,19,0.72,0.6333333333333333,0.6,0.5533333333333333
1345,Support Vector Machines,34,15,19,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1346,Naive Bayes,34,15,19,0.8400000000000001,0.75,0.7,0.7047619047619047
